uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
261,3.70E+11,Lincoln Elementary School,3700420,Brunswick County Schools,11/13/2020,2020-2021,2020,2:00 PM,Friday,Leland,North Carolina,public,594,0,1,1,accidental,0,,unknown,unknown,,unknown,258,118,156,0,8,0,unknown,unknown,34.2618,-78.0429,40,PK,5,495,Brunswick County,37,37019,22,rep,32,10701022
262,3.70E+11,Hendersonville Middle School,3702100,Henderson County Schools,11/24/2020,2020-2021,2020,7:45 AM,Tuesday,Hendersonville,North Carolina,public,561,0,1,1,accidental,12,m,unknown,unknown,,unknown,357,54,109,7,0,0,unknown,unknown,35.3219,-82.473,41,6,8,254,Handerson County,37,37089,21,rep,32,10701022
263,51393001212,Watson Chapel Junior High,513930,Watson Chapel School District,3/1/2021,2020-2021,2021,9:55 AM,Monday,Pine Bluff,Arkansas,public,615,1,0,1,targeted,15,m,b,unknown,,unknown,91,498,12,11,0,0,handgun,unknown,34.189927,-92.065921,43.53,7,9,488,Jefferson County,5,5069,41,rep,25,3042017
267,3.63E+11,Wayne Central Middle School,3630330,Wayne Central School District,3/1/2021,2020-2021,2021,9:40 AM,Monday,Ontario,New York,public,693,0,1,1,targeted,19,m,w,employee,,unknown,640,13,23,6,0,0,Smith and Wesson M&P .45 caliber handgun,SRO,43.2197,-77.3036,67.09,5,8,268,Wayne County,36,36117,21,dem,50,19299981
268,,Achievement First Amistad High School,,,3/4/2021,2020-2021,2021,8:10 AM,Thursday,New Haven,Connecticut,private,520,0,0,0,unclear,0,,unknown,unknown,,unknown,,,,,,0,unknown,unknown,41.32981839,-72.9357119,0,9,12,,New Haven County,9,9009,12,dem,46,3546588
264,4.50E+11,Edwards Elementary School ,4501560,Chesterfield 01,3/8/2021,2020-2021,2021,1:30 PM,Monday,Chesterfield,South Carolina,public,503,0,1,1,unclear,54,,unknown,unknown,,unknown,307,160,2,3,0,0,unknown,unknown,34.737634,-80.11771,36,PK,5,503,Chesterfield County,45,45025,42,rep,36,5342388
269,1060127,Bishop Hartley High School,,,3/9/2021,2020-2021,2021,8:50 AM,Tuesday,Columbus,Ohio,private,679,0,0,0,unclear,0,,unknown,unknown,,unknown,404,190,29,10,0,0,unknown,unknown,39.94497,-82.910821,47.3,9,12,,Franklin County,39,39049,11,rep,31,11714618
266,10297001160,Selma High School,102970,Selma City Schools,4/1/2021,2020-2021,2021,1:00 PM,Thursday,Selma,Alabama,public,777,0,0,0,targeted,15,m,b,unknown,,unknown,2,771,1,1,0,0,handgun,unknown,32.428416,-87.022637,39,7,12,662,Dallas County,1,1047,32,rep,15,4949697
265,4.70E+11,Austin-East Magnet High,4702220,Knox County,4/12/2021,2020-2021,2021,3:15 PM,Monday,Knoxville,Tennessee,public,728,0,1,1,unclear,17,m,b,unknown,1,unknown,81,584,41,1,0,1,Glock 45 handgun,unknown,35.9901,-83.887,59.3,9,12,472,Knox County,47,47093,12,rep,16,7001803
270,2.73E+11,Plymouth Middle School,2731780,Robbinsdale Area Schools,4/26/2021,2020-2021,2021,8:44 AM,Monday,Plymouth,Minnesota,public,1001,0,0,0,indiscriminate,12,m,w,unknown,,unknown,454,262,163,35,5,0,handgun,father's bedroom,45.020964,-93.406233,36.5,6,8,397,Hennepin County,27,27053,13,dem,33,5739781
271,1.00E+11,Smyrna Middle School,1001620,Smyrna School District,4/27/2021,2020-2021,2021,10:25 AM,Tuesday,Smyrna,Delaware,public,984,1,0,1,targeted,47,m,b,unknown,,unknown,571,286,76,16,0,0,handgun,unknown,39.302595,-75.623778,64,7,8,,Kent County,10,10001,41,dem,40,988619
272,3.60E+11,Urban Dove Team Charter School,3601065,Urban Dove Team Charter School,4/29/2021,2020-2021,2021,2:45 PM,Thursday,Brooklyn,New York,public,313,1,0,1,targeted,15,m,b,unknown,,unknown,3,218,81,1,10,0,unknown,unknown,40.622473,-73.954975,24,10,12,268,Kings County,36,36047,11,dem,50,19299981
273,1.81E+11,Mary Evelyn Castle Elementary School,1805670,Metropolitan School District of Lawrence Township,4/30/2021,2020-2021,2021,1:00 PM,Friday,Indianapolis,Indiana,public,672,0,1,1,targeted,32,m,unknown,unknown,,unknown,192,247,157,18,0,0,unknown,unknown,39.9081,-86.018,34,1,6,393,Marion County,18,18097,11,rep,22,6842385
274,4.50E+11,Ware Shoals High School,4502370,Greenwood 51,5/5/2021,2020-2021,2021,8:00 AM,Wednesday,Ware Shoals,South Carolina,public,272,0,0,0,public suicide,15,m,w,unknown,1,suicide,212,36,16,0,0,0,handgun,mom's gun; kept in her car,34.393145,-82.238603,20,9,12,144,Greenwood County,45,45047,42,rep,36,5342388
275,1.60E+11,Rigby Middle School,1601570,Jefferson County Joint District,5/6/2021,2020-2021,2021,9:00 AM,Thursday,Rigby,Idaho,public,1541,0,3,3,indiscriminate,0,f,unknown,student,,unknown,1334,1,169,5,3,0,handgun,unknown,43.668498,-111.941927,76.82,6,8,508,Jefferson County,16,16051,41,rep,5,1896652
276,4.82E+11,North Forest High School,4823640,Houston Isd,6/9/2021,2020-2021,2021,10:30 AM,Wednesday,Houston,Texas,public,976,0,1,1,unclear,0,,unknown,unknown,,unknown,6,570,397,0,2,0,unknown,unknown,29.867029,-95.259744,58.28,9,12,931,Harris County,48,48201,11,rep,10,29730311
285,540385,Saint Francis de Sales School ,,,8/6/2021,2021-2022,2021,1:00 PM,Friday,Houma,Louisiana,private,660,0,1,1,targeted,17,m,b,unknown,,unknown,556,10,5,3,3,0,unknown,unknown,29.60752,-90.734161,35,PK,7,,Terrebonne County,22,22109,13,rep,34,4616106
286,1.30E+11,Lithonia High School,1301740,Dekalb County,8/12/2021,2021-2022,2021,3:00 PM,Thursday,Lithonia,Georgia,public,1362,0,1,1,targeted,0,,unknown,resource officer,,unknown,9,1253,74,2,2,1,handgun,unknown,33.725,-84.1294,88.5,9,12,1075,Dekalb County,13,13089,21,dem,23,10830007
287,3.50E+11,Washington Middle School,3500060,Albuquerque Public Schools,8/13/2021,2021-2022,2021,12:45 PM,Friday,Albuquerque,New Mexico,public,442,1,0,1,targeted,13,m,unknown,unknown,,unknown,14,6,407,4,5,0,handgun,unknown,35.086144,-106.661691,34.4,6,8,442,Bernalillo County,35,35001,11,dem,21,2109093
288,4.50E+11,Orangeburg-Wilkinson High School,4503910,Orangeburg,8/18/2021,2021-2022,2021,4:00 PM,Wednesday,Orangeburg,South Carolina,public,1016,0,3,3,unclear,14,m,unknown,unknown,,unknown,17,954,30,9,2,0,unknown,unknown,33.524095,-80.836538,57,9,12,1016,Orangeburg County,45,45075,32,rep,36,5342388
289,3.70E+11,New Hanover High School,3703330,New Hanover County Schools,8/30/2021,2021-2022,2021,11:00 AM,Monday,Wilmington,North Carolina,public,1529,0,1,1,targeted,15,m,b,unknown,,unknown,658,488,290,20,4,0,unknown,unknown,34.2374,-77.9324,95.53,9,12,1504,New Hanover County,37,37129,12,rep,32,10701022
290,3.70E+11,Mount Tabor High School,3701500,Winston Salem / Forsyth County Schools,9/1/2021,2021-2022,2021,12:00 PM,Wednesday,Winston-Salem,North Carolina,public,1491,1,0,1,targeted,15,m,unknown,unknown,,unknown,509,628,252,16,5,0,unknown,unknown,36.1268,-80.3132,81.76,9,12,595,Forsyth County,37,37067,12,rep,32,10701022
291,4.70E+11,LaVergne High School,4703690,Rutherford County,9/7/2021,2021-2022,2021,3:30 PM,Tuesday,Lavergne,Tennessee,public,1910,0,0,0,unclear,15,m,unknown,unknown,,unknown,474,608,702,66,4,0,unknown,unknown,35.9887,-86.5597,115.1,9,12,1150,Rutherford County,47,47149,21,rep,16,7001803
292,2.61E+11,Tri-County Education Center,2614280,Ferndale Public Schools,9/8/2021,2021-2022,2021,2:30 PM,Wednesday,Ferndale,Michigan,public,360,0,0,0,targeted,0,m,unknown,unknown,,unknown,29,319,4,2,0,0,unknown,unknown,42.450386,-83.159362,6.48,9,12,262,Oakland County,26,26125,21,dem,20,9992427
